City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
225,Wala,CM,2022-05-05 01:53:19,4.578,12.3154,68.36,99,77,0.89
226,Seoul,KR,2022-05-05 01:50:30,37.5683,126.9778,70.99,28,0,9.22
227,Cravo Norte,CO,2022-05-05 01:53:20,6.3017,-70.2041,85.23,56,94,3.53
228,Atuona,PF,2022-05-05 01:45:07,-9.8,-139.0333,79.18,74,10,15.59
229,Mahebourg,MU,2022-05-05 01:53:21,-20.4081,57.7,77.29,83,40,12.66
230,Muswellbrook,AU,2022-05-05 01:53:21,-32.2667,150.9,69.13,68,39,7.65
231,Haines Junction,CA,2022-05-05 01:53:22,60.7522,-137.5108,49.95,27,100,10.36
232,Basco,PH,2022-05-05 01:53:22,20.4487,121.9702,82.13,80,100,13.27
233,Uppsala,SE,2022-05-05 01:53:23,60.0,17.75,44.04,70,20,8.05
234,Ziarat,PK,2022-05-05 01:53:23,30.3823,67.7282,58.44,44,0,1.3
235,Tiksi,RU,2022-05-05 01:44:51,71.6872,128.8694,17.35,92,100,4.14
236,Hualmay,PE,2022-05-05 01:53:24,-11.0964,-77.6139,64.78,87,5,9.01
237,Kahului,US,2022-05-05 01:40:37,20.8947,-156.47,84.22,65,40,25.32
238,Tsogni,GA,2022-05-05 01:53:25,-2.7942,10.0988,73.45,95,100,6.22
239,Varkkallai,IN,2022-05-05 01:50:53,8.7341,76.7067,82.18,86,100,6.35
240,Namibe,AO,2022-05-05 01:53:25,-15.1961,12.1522,78.17,61,1,2.35
241,Cabo San Lucas,MX,2022-05-05 01:53:26,22.8909,-109.9124,76.6,63,4,3.0
242,Manosque,FR,2022-05-05 01:53:26,43.8288,5.7869,53.51,83,100,4.25
243,Kenitra,MA,2022-05-05 01:50:21,34.261,-6.5802,52.56,86,0,2.17
244,Hay River,CA,2022-05-05 01:53:27,60.8156,-115.7999,46.38,76,75,16.11
245,Ilulissat,GL,2022-05-05 01:45:40,69.2167,-51.1,17.62,67,100,5.75
246,Tazovskiy,RU,2022-05-05 01:53:28,67.4667,78.7,33.1,96,100,13.24
247,Inirida,CO,2022-05-05 01:53:28,3.8653,-67.9239,73.87,98,95,1.95
248,Alice Springs,AU,2022-05-05 01:51:03,-23.7,133.8833,60.35,51,75,16.11
249,Necochea,AR,2022-05-05 01:53:29,-38.5473,-58.7368,55.29,68,82,11.77
250,Neiafu,TO,2022-05-05 01:53:29,-18.65,-173.9833,83.08,65,75,5.75
251,Buraydah,SA,2022-05-05 01:53:30,26.326,43.975,86.45,17,87,9.06
252,Guiratinga,BR,2022-05-05 01:53:30,-16.3494,-53.7583,60.8,64,1,2.98
253,Vardo,NO,2022-05-05 01:53:31,70.3705,31.1107,27.7,65,88,9.08
254,Bambous Virieux,MU,2022-05-05 01:45:22,-20.3428,57.7575,77.25,83,40,12.66
255,Makambako,TZ,2022-05-05 01:53:32,-8.8453,34.823,52.72,90,7,9.48
256,Tucuman,AR,2022-05-05 01:50:15,-26.8241,-65.2226,51.8,93,0,6.91
257,Husavik,IS,2022-05-05 01:53:32,66.0449,-17.3389,31.33,93,100,2.06
258,Cayenne,GF,2022-05-05 01:49:38,4.9333,-52.3333,79.09,1,100,2.3
259,Yen Bai,VN,2022-05-05 01:53:33,21.7,104.8667,78.03,52,99,1.61
260,Half Moon Bay,US,2022-05-05 01:53:34,37.4636,-122.4286,78.89,85,100,24.16
261,Capreol,CA,2022-05-05 01:53:34,46.706,-80.9225,50.47,54,20,5.75
262,Panjab,AF,2022-05-05 01:53:35,34.388,67.0233,49.33,60,33,3.09
263,Xichang,CN,2022-05-05 01:53:35,27.8964,102.2634,67.28,56,100,2.08
